Modèle,RMSE,R²
XGBoost initial,0.7926014476444695,0.5241010662988694
Random Forest initial,0.7931142455656152,0.5234850721464608
Random Forest optimisé,0.794639113665702,0.5216509834736134
XGBoost optimisé,0.7965808961884177,0.5193103369736202
Régression linéaire,0.8695730045578808,0.42718140598541166
